row,col,.value,N_header_label_01,N_header_label_02,N_header_label_03,W_header_label_01,W_header_label_02,W_header_label_03,W_header_label_04,W_header_label_05
7,2,54664,All doctorate recipientsa,NA,NA,All fields,NA,NA,NA,NA
8,2,12592,All doctorate recipientsa,NA,NA,All fields,Life sciences,NA,NA,NA
9,2,1606,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,NA,NA
10,2,144,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural economics,NA
11,2,368,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",NA
12,2,51,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Animal nutrition, poultry science",NA
13,2,105,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Animal sciences, other",NA
14,2,222,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,Environmental science,NA
15,2,69,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,Fishing and fisheries sciences and management,NA
16,2,177,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Food science, food technology-other",NA
17,2,165,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Forest biology, forest management, wood science, forestry sciences- other",NA
18,2,54,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resource and environmental policy,NA
19,2,82,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Natural resources and conservation, wildlife and range management",NA
20,2,43,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,Soil chemistry and microbiology,NA
21,2,52,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Soil sciences, other",NA
22,2,74,All doctorate recipientsa,NA,NA,All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences, aggregated",NA
23,2,8477,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Agricultural sciences, aggregated",NA
24,2,139,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",NA
25,2,138,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",NA
26,2,815,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),NA
27,2,183,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,NA
28,2,341,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,NA
29,2,216,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,NA
30,2,208,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),NA
31,2,127,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Botany, plant pathology, plant physiology",NA
32,2,364,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,NA
33,2,234,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",NA
34,2,147,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Computational biology,NA
35,2,432,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Ecology,NA
36,2,90,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Endocrinology, human/animal pathology",NA
37,2,129,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Entomology,NA
38,2,64,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology (biological sciences),NA
39,2,351,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Epidemiology,NA
40,2,224,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,NA
41,2,345,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Genetics and genomics, human and animal",NA
42,2,401,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Immunology,NA
43,2,410,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Microbiology,NA
44,2,624,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,NA
45,2,67,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,NA
46,2,985,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology",NA
47,2,215,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,NA
48,2,236,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",NA
49,2,165,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",NA
50,2,49,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,NA
51,2,55,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Structural biology,NA
52,2,81,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Toxicology,NA
53,2,62,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Wildlife biology,NA
54,2,44,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,Zoology,NA
55,2,391,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",NA
56,2,145,All doctorate recipientsa,NA,NA,All fields,Life sciences,Biological and biomedical sciences,"Biotechnology, biology/biomedical sciences-other",NA
57,2,2509,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,"Biotechnology, biology/biomedical sciences-other",NA
58,2,84,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Environmental health,NA
59,2,82,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Health and behavior,NA
60,2,203,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Health services/systems administration,NA
61,2,276,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,"Kinesiology, exercise science",NA
